Spring Mobile - AT&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp,1/31/2016,,8/27/2017,,,,NA
Store #,Store Name,Address,City,State,Zip,Market,Region,District,State,Open Date,Market VP,Region Director,District Manager,,Classification,Acquisition Name,Store Tier, Sq Ft , Sq Ft Range ,Closed Date,Status,Attribute,Base?,Comp?,Same?,,,1396,,,,Same,8/28/2016,,,,,,Base
1867,Morganton,A130 Morganton Heights Blvd,Morganton,NC,28655,Northeast Market,Atlantic Region,West NC,North Carolina,12/1/2015,Kirby Loeck,Joey Halley,David Eads,,Acquisition,Noble Comm,2,"1,600", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,2,,,,,,,,,,,,,
1868,Matthews,"1909 Matthews Township Pkwy, Ste 1",Matthews,NC,28105,Northeast Market,Atlantic Region,Charlotte,North Carolina,12/1/2015,Kirby Loeck,Joey Halley,Shannon Esh,,Acquisition,Noble Comm,4,"1,500", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,4,,,,,,,,,,,,,
1869,Forest City,112 Plaza Drive,Forest City,NC,28043,Northeast Market,Atlantic Region,West NC,North Carolina,12/1/2015,Kirby Loeck,Joey Halley,David Eads,,Acquisition,Noble Comm,3,"2,000", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,3,,,,,,,,,,,,,
1870,Carmel Village,7510 Pineville Matthews Road,Charlotte,NC,28226,,,,North Carolina,12/1/2015,,,,,Acquisition,Noble Comm,,,,5/31/2017,Closed,Acquisition - Noble Comm,,,,5,,,,,,,,,,,,,
1871,Ocala Station,4914 E Silver Springs Blvd,Ocala,FL,34470,South Market,Florida Region,Central Florida,Florida,12/4/2015,Brady Bowen,Scott Groskreutz,Bryan Gauvin,,Acquisition,Noble Comm,4,"1,600", 1500-2000 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1872,Bay Pines,"10195 Bay Pines Blvd, Ste 3",St Petersburg,FL,33708,South Market,Florida Gulf Region,South Tampa,Florida,12/31/2015,Brady Bowen,Mitch Nelson,Shane Parks,,Acquisition,Noble Comm,5,"1,400", 1000-1500 ,,Open,Acquisition - Noble Comm,,x,x,5,,,,,,,,,,,,,
1873,Cobble Village,"200 CBL Drive, Ste 102-1",St Augustine,FL,32086,South Market,Florida Region,Saint Augustine,Florida,2/24/2016,Brady Bowen,Scott Groskreutz,Nicholas Reckendorf,,WS,FY2016,5,"1,265", 1000-1500 ,,Open,WS - FY2016,,,x,5,,,,,,,,,,,,,
2000,Albany 14th Ave,"1895 14th Ave SE, Ste G",Albany,OR,97322,West Market,OR/CA Region,Oregon Central,Oregon,11/1/2015,Jon Betts,Ritchie Herkenhoff,Jeff Huebner,,Acquisition,Smart Wireless,2,"1,587", 1500-2000 ,,Open,Acquisition - Smart Wireless,,x,x,2,,,,,,,,,,,,,
2001,Ashland,1454 Ashland St,Ashland,OR,97520,West Market,OR/CA Region,Oregon South,Oregon,11/1/2015,Jon Betts,Ritchie Herkenhoff,Thomas Devinney,,Acquisition,Smart Wireless,4,"2,075", 2000-2500 ,,Open,Acquisition - Smart Wireless,,x,x,4,,,,,,,,,,,,,
2002,Barbur,"9220 SW Barbur Blvd, Ste 120",Portland,OR,97219,West Market,OR/CA Region,Portland/Vancouver,Oregon,11/1/2015,Jon Betts,Ritchie Herkenhoff,Gavin Mallett,,Acquisition,Smart Wireless,1,"2,320", 2000-2500 ,,Open,Acquisition - Smart Wireless,,x,x,2,,,,,,,,,,,,,
