"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Spring Mobile Multi-Tracker","","","","","","","","","Store Charactaristics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Formula Link","AT&T Region","AT&T Market","Spring Market","Region","District","Loc","Store Name","Street Address","City, State, Zip","Square Feet","Total Monthly Rent","Lease Expiration","October 2017 Total Ops","Average Last 12 Months Ops","Average Traffic Count Last 12 Months","June SMF","Dealer Code","Exterior Photo","Interior Photo","Build Type","Store Type","C&C Designation","Remodel or Open Date","Authorized Retailer Tag Line","Pylon/Monument Panels","Selling Walls","Memorable Accessory Wall","Cash Wrap Expansion","Window Wrap Grpahics","Live DTV","Learning Tables","Community Table","Diamond Displays","C Fixtures","TIO Kiosk","Approved for Flex Blade","Cap Index Score","Selling Walls Notes"
"","2519 Fayetteville MLK","CENTRAL","MID STATES","South","AOK Region","NW Arkansas","2519","Fayetteville MLK","2804 Martin Luther King Blvd","Fayetteville, AR 72704","3000","$8,000.00","3/31/2025","158","171","2320","$11,373.46","MM0QE","https://www.dropbox.com/s/7gm48dqub42ycun/2519%20Fayetteville%20MLK%20Outside.jpg?dl=0","https://www.dropbox.com/s/6yp2wg290jwgnos/2519%20Fayetteville%20MLK%20inside.jpg?dl=0","DES1","Stand Alone","","","YES","2","13","0","27 Panel","","Installed","4","YES","1","1","NO","","",""
"","2520 Siloam Springs","CENTRAL","MID STATES","South","AOK Region","NW Arkansas","2520","Siloam Springs","3287 Hwy 412 E","Siloam Springs, AR 72761","3000","$7,675.00","4/30/2025","225","252","3357","$13,079.61","T8LWH","https://drive.google.com/a/springmobile.com/file/d/0BxPOuInEZYLEYkFhT2dFb0FfckE/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BxPOuInEZYLEV2xNeWR0SVg3SDQ/view?usp=sharing","DES1","Stand Alone","","","YES","2","13","0","27 Panel","","Installed","5","YES","1","1","NO","","",""
"","2547 Altus","CENTRAL","MID STATES","South","AOK Region","South OK","2547","Altus","1322 N Main St","Altus, OK 73521","2400","$6,325.00","12/31/2024","116","127","2453","$3,173.91","LKCHY","https://www.dropbox.com/s/kfi63077hlltj0w/2547%20Altus%20outside.JPG?dl=0","https://drive.google.com/a/springmobile.com/file/d/0B2aa0PVkhQXGRkxfemNic3dmak0/view?usp=sharing","","Stand Alone","","","YES","0","","0","NO","","Installed","","","0","0","NO","","",""
"","2549 Ardmore","CENTRAL","MID STATES","South","AOK Region","South OK","2549","Ardmore","1205 12th Ave NW","Ardmore, OK 73401","2500","$6,133.33","11/30/2021","260","331","4228","$13,124.47","3VXZT","https://www.dropbox.com/s/y6hp49yueq6i531/2549%20Ardmore%20Outside.jpg?dl=0","https://www.dropbox.com/s/8jeaswrtwoke60z/2549%20Ardmore%20inside.jpg?dl=0","","Stand Alone","","","YES","0","","0","NO","","Installed","","","0","0","NO","","",""
"","2550 Atoka","CENTRAL","MID STATES","South","AOK Region","South OK","2550","Atoka","501 S Mississippi Ave","Atoka, OK 74525","2094","$4,700.00","12/31/2024","","","","$14,363.45","ZE39G","https://www.dropbox.com/s/075jmasxkoz4lmi/2550%20Atoka%20outside.JPG?dl=0","","DES1","Stand Alone","Complete","11/6/2017","NO","0","11","1","NO","","Installed","3","YES","0","0","NO","","",""
"","2552 Durant","CENTRAL","MID STATES","South","AOK Region","South OK","2552","Durant","308 University Place Suite 102","Durant, OK 74701","2728","$8,034.00","2/14/2019","611","552","5825","$18,040.56","6NZFR","https://www.dropbox.com/s/zzy4z3cqpjvuguv/2552%20Durant%20outside.jpg?dl=0","https://www.dropbox.com/s/k2jlrl2e5pl6of8/2552%20Durant%20inside.jpg?dl=0","","Stand Alone","","","YES","0","","0","15 Panel","","Installed","","","0","0","NO","","",""
"","2555 Lawton","CENTRAL","MID STATES","South","AOK Region","South OK","2555","Lawton","285 NW 2nd St Suite J","Lawton, OK 73507","2520","$5,857.15","11/30/2019","82","105","1409","$1,513.49","WM3WL","https://www.dropbox.com/s/tbq6kfqxpte17jg/2555%20Lawton%20Outside.jpg?dl=0","https://www.dropbox.com/s/swr74od2n89814q/2555%20Lawton%20inside.jpg?dl=0","","End Cap Strip","","","YES","0","","0","NO","","Denied","","","0","0","NO","","",""
"","2556 Madill","CENTRAL","MID STATES","South","AOK Region","South OK","2556","Madill","804 S 1st St","Madill, OK 73446","931","$950.00","10/31/2016","148","161","2640","$12,790.72","QD2BJ","https://www.dropbox.com/s/q664yjd5yxm6hus/2556%20Madill%20outside.JPG?dl=0","https://www.dropbox.com/s/a7262lmgzmxamff/2556%20Madill%20inside.JPG?dl=0","","End Cap Strip","","","YES","0","","0","NO","","Installed","","","0","0","NO","","",""
"","2559 Pauls Valley","CENTRAL","MID STATES","South","AOK Region","South OK","2559","Pauls Valley","2000 W Grant Suite 4","Pauls Valley, OK 73075","2516","$4,173.21","10/31/2019","145","194","2590","$15,285.48","Y96RT","https://www.dropbox.com/s/5d179dyv98yp8m9/2559%20Pauls%20Valley%20outside.JPG?dl=0","https://www.dropbox.com/s/qdu6hyp5ij5df07/2559%20Pauls%20valley%20inside.JPG?dl=0","","Inline Strip","","","YES","0","","0","27 Panel","","Installed","","","0","0","NO","","",""
"","2561 Purcell","CENTRAL","MID STATES","South","AOK Region","South OK","2561","Purcell","1919 S Green Ave","Purcell, OK 73080","1075","$1,300.36","5/31/2019","95","108","1729","$13,543.67","XX652","https://www.dropbox.com/s/f3i9vs55t351eas/2561%20Purcell%20outside.JPG?dl=0","https://www.dropbox.com/s/g1dqqsv4ct8utpd/2561%20purcell%20inside.JPG?dl=0","","Inline Strip","","","YES","0","","0","NO","","Installed","","","0","0","NO","","",""
"","738 Plano Preston","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas","738","Plano Preston","8305 Preston Rd Suite 400C","Plano, TX 75024","2400","$9,700.29","1/31/22","179","106","1012","$399.21","CKDKR","https://www.dropbox.com/s/powxeym3k324ol4/738%20Plano%20Preston%20Outside.jpg?dl=0","https://www.dropbox.com/s/45766b8m5hjrny2/738%20Plano%20Preston%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/30/2016","NO","","11","1","NO","","Pending","5","YES","0","0","NO","","77",""
"","772 Dallas Hillcrest","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas","772","Dallas Hillcrest","6417 Hillcrest Ave","Dallas, TX 75205","2460","$8,821.84","11/30/2018","119","88","1063","$458.75","VWZDG","https://www.dropbox.com/s/f2kkcpidudt9x8n/772%20Dallas%20Hillcrest%20Outside.jpg?dl=0","https://www.dropbox.com/s/iuwbhyzmjmepvyc/772%20Dallas%20Hillcrest%20Inside.jpg?dl=0","DESxs","Inline Strip","Complete","11/23/2015","YES","0","9","0","NO","","Installed","3","NO","0","0","NO","","366",""
"","780 Mockingbird","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas","780","Mockingbird","5618 E Mockingbird Ln","Dallas, TX 75206","2363","$5,683.23","3/31/2019","270","186","1876","$1,857.25","J76ER","https://www.dropbox.com/s/jbnzy5ax3xj42io/780%20Mockingbird.jpg?dl=0","https://www.dropbox.com/s/zms6v4dznetas67/780%20Mockingbird%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/10/2015","YES","2","11","0","NO","","Installed","3","YES","1","2","NO","","",""
"","784 Marsh Lane","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas","784","Marsh Lane","11722 Marsh Ln #A3","Dallas, TX 75229","2500","$4,871.26","3/31/2022","123","121","1974","$1,628.17","K2W9X","https://www.dropbox.com/s/e5a93jcxfr6sk1r/784%20Marsh%20Lane.jpg?dl=0","https://www.dropbox.com/s/g577ntifkz9nyuk/784%20Marsh%20Lane%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/10/2015","YES","2","11","0","NO","","Installed","3","YES","1","2","NO","","",""
"","2388 Allen","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas","2388","Allen","906 W McDermott Suite 320","Allen, TX 75013","1200","$7,129.00","8/31/2021","199","180","2099","$22,379.83","O4NFO","https://www.dropbox.com/s/xsz7wpqxfcwy3yh/2388%20Allen%20Outside.jpg?dl=0","https://www.dropbox.com/s/l2p2yluz0rdc911/2388%20Allen%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","8/31/2016","YES","2","13","1","NO","","Pending","4","YES","0","0","NO","","",""
"","2392 Beltline","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas","2392","Beltline","3504 Belt Line Rd","Farmers Branch, TX 75234","2400","$5,500.00","7/31/23","182","161","1981","$16,281.35","2LTBS","https://www.dropbox.com/s/sr5lify15ik68ya/2392%20Beltline%20Outside.jpg?dl=0","https://www.dropbox.com/s/jl18i6i5p2tbez4/2392%20Beltline%20Inside.jpg?dl=0","DES2","End Cap Strip","","","YES","2","11","0","NO","","Installed","0","NO","2","3","NO","","",""
"","2406 Greenville Ave","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas","2406","Greenville Ave","5521 Greenville Ave Suite 101","Dallas, TX 75206","2000","$6,854.83","3/31/2022","262","208","2273","$22,105.88","JVWNC","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_LVFPM0pvMXV4aHM/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_Z1Z3azBWUURvQzA/view?usp=sharing","DES1","End Cap Strip","","","YES","0","15","0","15 Panel","","Installed","4","YES","1","0","NO","","",""
"","2414 Josey","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas","2414","Josey","1855 E Frankford Rd Suite 104","Carrollton, TX 75007","900","$3,678.83","7/31/2018","157","168","2132","$7,395.82","7Z4UE","https://www.dropbox.com/s/6ttbo4j2l316ani/2414%20Josey%20outside.jpg?dl=0","https://www.dropbox.com/s/d6kjidf4c19fswz/2414%20Josey%20inside.jpg?dl=0","GEN","End Cap Strip","","","YES","2","6","0","NO","","Installed","0","NO","1","0","NO","","",""
"","2418 Lovers Lane","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas","2418","Lovers Lane","5567 W Lovers Lane","Dallas, TX 75209","1846","$5,284.00","12/31/2022","210","165","1858","$33,743.97","0ZORA","","","DES1","Inline Strip","","","YES","0","13","0","NO","","Installed","2","YES","0","0","NO","","",""
"","2422 Preston NW Highway","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas","2422","Preston NW Highway","5960 W NW Hwy","Dallas, TX 75225","1131","$5,645.50","11/30/2018","46","58","767","$24,248.00","53N88","https://www.dropbox.com/s/75buzsgrabqt8b7/2422%20Preston%20NW%20Highway%20Outside.jpg?dl=0","https://www.dropbox.com/s/bl2rdi5kgtgf91q/2422%20Preston%20NW%20Highway%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","4/15/2017","NO","2","11","0","NO","","Installed","3","YES","0","0","NO","","",""
"","786 Dallas Buckner","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas East","786","Dallas Buckner","1530 S Buckner","Dallas, TX 75217","2640","$2,640.00","5/31/2019","182","134","2981","$2,445.25","23O98","https://www.dropbox.com/s/teta990kept9fi9/786%20Dallas%20Buckner.jpg?dl=0","https://www.dropbox.com/s/dbao9kx790gb36q/786%20Dallas%20Buckner%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","7/15/2015","YES","2","15","0","NO","","Installed","4","YES","1","2","YES","","",""
"","2402 Forney","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas East","2402","Forney","780 E Hwy 80 Suite 200","Forney, TX 75126","2478","$7,449.89","8/31/2019","396","499","4653","$12,121.48","PSSOA","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_LW9La1lYRHJuTlk/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_Y255V251VDJ1dTQ/view?usp=sharing","DES1","End Cap Strip","","","YES","2","13","0","NO","","Installed","3","YES","1","2","NO","","",""
"","2407 Greenville CTV","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas East","2407","Greenville CTV","6906 Wesley St Suite A","Greenville, TX 75401","1992","$5,940.00","11/14/2022","172","178","2163","$4,074.13","ECO7Z","","","DES1","End Cap Strip","Complete","11/15/2017","NO","","11","1","NO","","Pending","3","YES","0","0","NO","","",""
"","2415 Kaufman","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas East","2415","Kaufman","100 Kings Fort Pkwy Suite 112","Kaufman, TX 75142","2563","$6,439.54","8/31/2020","258","236","3277","$26,350.24","QAKT9","https://drive.google.com/a/springmobile.com/file/d/0Bwf3ZYFvVHMLckQwdm5mOGZvSjg/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0Bwf3ZYFvVHMLN1o4VHVlaVFqdGM/view?usp=sharing","DES1","End Cap Strip","","","YES","2","13","0","NO","","Installed","3","YES","1","2","NO","","",""
"","2425 Quinlan","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas East","2425","Quinlan","8826 State Hwy 34","Quinlan, TX 75474","1600","$3,658.67","7/31/2019","90","100","1564","$3,058.37","ZWZPJ","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_dm4yMHlYT0JQLTQ/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_V2lLcElmNXFnNUE/view?usp=sharing","DES1","End Cap Strip","","","YES","2","12","0","NO","","Installed","2","YES","1","2","NO","","",""
"","2427 Rowlett","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas East","2427","Rowlett","2202 Lakeview Pkwy Suite 104","Rowlett, TX 75088","2500","$6,750.00","7/31/23","304","266","2819","$30,954.53","G3FCM","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_bWJxQUZCQUlIN2M/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_S1ltMFhMbWVtY1k/view?usp=sharing","DES1","End Cap Strip","","","YES","2","13","0","NO","","Installed","3","YES","1","2","NO","","",""
"","2429 Sulphur Springs","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas East","2429","Sulphur Springs","1335 S Broadway Suite 10","Sulphur Springs, TX 75482","2000","$3,828.33","8/31/2020","277","254","3332","$25,799.27","IBNE2","https://www.dropbox.com/s/ka6orvw347ylpx7/2429%20Sulpher%20Springs%20outside.JPG?dl=0","https://www.dropbox.com/s/966nbh975piaor2/2429%20Sulpher%20Springs%20inside.jpg?dl=0","DES1","End Cap Strip","","","YES","2","13","0","15 Panel","","Installed","4","YES","0","1","NO","","",""
"","2431 Terrell","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas East","2431","Terrell","1400 W Moore","Terrell, TX 75160","1400","$2,310.00","8/31/2018","129","168","2746","$5,082.54","APO7F","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_emowaV9QWlhITkk/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_a0xxYmthVTlBUFU/view?usp=sharing","ARS","End Cap Strip","","","YES","2","12","0","NO","","Denied","0","NO","0","1","NO","","",""
"","2433 Wylie","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas East","2433","Wylie","1125 W FM 544 Suite 400","Wylie, TX 75098","2070","$5,428.17","1/31/2019","141","125","1898","$22,994.90","J8VPY","","","DES1","Inline Strip","","","YES","2","12","0","NO","","Denied","2","YES","1","2","NO","","",""
"","791 Mexia","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas South","791","Mexia","1324 E Milam St","Mexia, TX 76667","2600","$4,694.24","3/31/2020","250","232","2972","$2,794.82","GY7WA","https://www.dropbox.com/s/likgofdm1n0t5pt/791%20Mexia.jpg?dl=0","https://www.dropbox.com/s/b7zi0w6tuikiy8k/791%20Mexia%20inside.jpg?dl=0","DES1","Stand Alone","Complete","5/27/2015","YES","0","11","0","NO","","Installed","3","YES","0","0","NO","","",""
"","2389 Athens","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas South","2389","Athens","1103 E Tyler St","Athens, TX 75751","2393","$6,300.00","10/13/2023","192","162","2098","$7,203.75","FC2T5","https://www.dropbox.com/s/90n1jgk9nisy5ej/2389%20Athens%20Outside.jpg?dl=0","https://www.dropbox.com/s/n5fixluymz50r1h/2389%20Athens%20Inside.jpg?dl=0","DES1","Stand Alone","","","YES","2","13","0","NO","","Installed","3","YES","1","2","NO","","",""
"","2395 Canton","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas South","2395","Canton","351 E State Hwy 243 Suite 200","Canton, TX 75103","2070","$6,050.00","1/16/2024","191","212","2747","$6,956.82","4JMYT","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_Tk85YTlHcXRWc1E/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_bGZDU28wU0xUYU0/view?usp=sharing","DES1","End Cap Strip","Complete","1/20/2017","NO","2","12","1","NO","","Installed","4","YES","0","0","NO","","28",""
"","2397 Corsicana","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas South","2397","Corsicana","610 W 7th Ave","Corsicana, TX 75110","3200","$8,267.00","3/31/2024","423","413","5743","$16,773.95","BBGZ3","https://www.dropbox.com/s/ka4nymcqk96rk78/2397%20Corsicana%20Outside.jpg?dl=0","https://www.dropbox.com/s/2qrtcj4ksxqhe3f/2397%20Corsicana%20Inside.jpg?dl=0","DES1","Stand Alone","Complete","2/22/2017","NO","0","11","1","NO","","Installed","6","YES","0","0","NO","","69",""
"","2400 Ennis","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas South","2400","Ennis","609 E Ennis Ave","Ennis, TX 75119","2100","$7,000.00","7/31/2023","237","227","3738","$25,145.89","NAM6N","https://drive.google.com/a/springmobile.com/file/d/0B0qE3kXQx-y6RjlMMkVHOW5DZVU/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0B0qE3kXQx-y6N3Q0Y1JkdF9KN2s/view?usp=sharing","DES2","Stand Alone","","","YES","0","12","0","NO","","Installed","0","NO","1","1","NO","","",""
"","2409 Gun Barrel City","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas South","2409","Gun Barrel City","1117 W Main St","Gun Barrel City, TX 75156","2880","$7,520.00","9/30/2023","355","360","4289","$15,230.04","SXTEH","https://www.dropbox.com/s/p3jbcbw8z7vqjkg/2409%20Gun%20Barrel%20City%20Outside.jpg?dl=0","https://www.dropbox.com/s/anf3lfh2h788qwb/2409%20Gun%20Barrel%20City%20Inside.jpg?dl=0","DES1","Stand Alone","Complete","9/21/2016","YES","2","13","0","NO","","Installed","6","YES","1","2","NO","","",""
"","2413 Jacksonville","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas South","2413","Jacksonville","1027 S Jackson St Suite 103","Jacksonville, TX 75766","2438","$5,415.83","12/31/2019","122","125","2123","$18,696.87","46IMV","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_a3hLNHNTakh5Wnc/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_WGRWOGVuUWJKYjQ/view?usp=sharing","DES1","End Cap Strip","","","YES","2","13","0","NO","","Installed","2","YES","1","2","NO","","",""
"","2423 Ovilla Corners","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas South","2423","Ovilla Corners","109 E Ovilla Rd Suite 100","Red Oak, TX 75154","1190","$3,004.81","6/30/2021","119","125","1827","$23,417.59","NS7EL","https://www.dropbox.com/s/ncshltj0cj762cf/2423%20Ovilla%20Corners%20Outside.jpg?dl=0","https://www.dropbox.com/s/mnyzaqhuaatilhs/2423%20Ovilla%20Corners%20Inside.jpg?dl=0","GEN","End Cap Strip","","","YES","2","7","0","NO","","Installed","0","NO","1","1","NO","","",""
"","2424 Palestine","CENTRAL","NORTH TEXAS","South","DFW Region","Dallas South","2424","Palestine","2100 Crockett Rd","Palestine, TX 75801","1700","$3,000.00","7/31/2023","136","190","2576","$24,935.90","P49WU","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_NlA5MXBEY3lBdVk/view?usp=sharing","https://drive.google.com/a/springmobile.com/file/d/0BwGib5CdpLt_RjVvUEJMWGhmX0U/view?usp=sharing","ARS","Stand Alone","","","YES","0","8","0","NO","","Installed","0","NO","0","0","NO","","",""
"","764 Northeast Mall","CENTRAL","NORTH TEXAS","South","DFW Region","DFW North","764","Northeast Mall","1101 Melbourne Rd Suite 2314","Hurst, TX 76053","1100","$12,849.29","11/30/2019","181","155","3828","$2,400.08","S7Y6W","https://www.dropbox.com/s/eym7fguznz8froy/764%20Northeast%20Mall%20Inside.jpg?dl=0","https://www.dropbox.com/s/68tomkjth7at9yu/764%20Northeast%20Mall.jpg?dl=0","DES1","Mall","Complete","11/25/2014","YES","0","10","0","NO","","Installed","1","NO","1","0","NO","","",""
"","785 Lewisville","CENTRAL","NORTH TEXAS","South","DFW Region","DFW North","785","Lewisville","729 Hebron Pkwy","Lewisville, TX 75057","2466","$6,433.75","4/30/2022","184","147","1344","$1,718.06","Z7L4R","https://www.dropbox.com/s/o8z36j0g0wnp4ck/785%20Lewisville.jpg?dl=0","https://www.dropbox.com/s/qdtphd1ar7f7ukg/785%20Lewisville%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/18/2015","YES","2","11","0","NO","","Installed","3","YES","1","2","NO","","",""
"","787 Hurst Line Rd","CENTRAL","NORTH TEXAS","South","DFW Region","DFW North","787","Hurst Line Rd","1332 Precinct Line Rd","Hurst, TX 76053","2743","$7,314.67","8/31/2020","168","126","1290","$1,592.64","39AD2","https://www.dropbox.com/s/mlj4z4j3pcyzl7f/787%20Hurst%20Line%20Rd.jpg?dl=0","https://www.dropbox.com/s/xdej3hsav4wmdn5/787%20Hurst%20Line%20Rd%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","8/12/2015","YES","0","13","0","27 Panel","","Installed","5","YES","1","2","NO","","351",""
"","788 Corinth","CENTRAL","NORTH TEXAS","South","DFW Region","DFW North","788","Corinth","4271 FM 2181 Suite 300","Corinth, TX 76210","2023","$5,386.00","1/31/2019","200","200","1704","$1,702.79","C7C3P","https://www.dropbox.com/s/tap3j21b8t9i44p/788%20Corinth.jpg?dl=0","https://www.dropbox.com/s/ufd9wqozw4jyclr/788%20Corinth%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/24/2015","YES","2","11","0","NO","Installed","Pending","2","YES","1","2","NO","","",""
"","790 Montgomery Plaza","CENTRAL","NORTH TEXAS","South","DFW Region","DFW North","790","Montgomery Plaza","2600 W 7th St Suite 100","Fort Worth, TX 76107","2500","$22.00","1/31/2022","444","335","2447","$2,692.65","UWYZW","https://www.dropbox.com/s/027yrwamn0pwazv/790%20Montgomery%20Plaza.jpg?dl=0","https://www.dropbox.com/s/6sb8ad6mwqwlru9/790%20Montgomery%20Plaza%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","6/30/2015","YES","2","11","0","15 Panel","","Denied","4","YES","1","2","NO","","",""
